# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 67.846037
2, 1.951112, , , 67.846037
3, 2.856834, , , 67.846037
4, 3.720341, , , 67.846037
5, 4.544517, , , 67.846037
6, 5.331989, , , 67.846037
7, 6.085155, , , 67.846037
8, 6.80621, , , 67.846037
9, 7.497164, , , 67.846037
10, 8.159864, , , 67.846037
11, 8.796008, , , 67.846037
12, 9.40716, , , 67.846037
13, 9.994766, , , 67.846037
14, 10.56016, , , 67.846037
15, 11.104578, , , 67.846037
16, 11.629166, , , 67.846037
