# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 191.438168
2, 1.982396, , , 191.438168
3, 2.947649, , , 191.438168
4, 3.896203, , , 191.438168
5, 4.828489, , , 191.438168
6, 5.744921, , , 191.438168
7, 6.6459, , , 191.438168
8, 7.531814, , , 191.438168
9, 8.403038, , , 191.438168
10, 9.259933, , , 191.438168
11, 10.102851, , , 191.438168
12, 10.932131, , , 191.438168
13, 11.748101, , , 191.438168
14, 12.551079, , , 191.438168
15, 13.341372, , , 191.438168
16, 14.11928, , , 191.438168
