# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 1.556175
2, 0.95583, , , 1.556175
3, 0.941961, , , 1.556175
4, 0.935177, , , 1.556175
5, 0.931153, , , 1.556175
6, 0.928489, , , 1.556175
7, 0.926596, , , 1.556175
8, 0.925181, , , 1.556175
9, 0.924084, , , 1.556175
10, 0.923208, , , 1.556175
11, 0.922492, , , 1.556175
12, 0.921897, , , 1.556175
13, 0.921393, , , 1.556175
14, 0.920963, , , 1.556175
15, 0.920589, , , 1.556175
16, 0.920263, , , 1.556175
