# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., 3.924, 1., 27.429991
2, 1.883282, 2.527, 1.55282944203, 27.429991
3, 2.669153, 1.626, 2.41328413284, 27.429991
4, 3.372886, 1.13, 3.47256637168, 27.429991
5, 4.006719, 0.944, 4.15677966102, 27.429991
6, 4.580573, 0.831, 4.72202166065, 27.429991
7, 5.102577, 0.745, 5.26711409396, 27.429991
8, 5.579455, 0.65, 6.03692307692, 27.429991
9, 6.016816, 0.685, 5.72846715328, 27.429991
10, 6.419377, 0.634, 6.18927444795, 27.429991
11, 6.791131, 0.603, 6.50746268657, 27.429991
12, 7.135486, 0.578, 6.78892733564, 27.429991
13, 7.455362, , , 27.429991
14, 7.75328, , , 27.429991
15, 8.031426, , , 27.429991
16, 8.291705, , , 27.429991
