# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., 0., 1., 7.735163
2, 1.639646, 0., , 7.735163
3, 2.083983, 0., , 7.735163
4, 2.410616, 0., , 7.735163
5, 2.660845, 0., , 7.735163
6, 2.85867, 0., , 7.735163
7, 3.018993, 0., , 7.735163
8, 3.151555, 0., , 7.735163
9, 3.262992, 0., , 7.735163
10, 3.35798, 0., , 7.735163
11, 3.439912, 0., , 7.735163
12, 3.511306, 0., , 7.735163
13, 3.574073, , , 7.735163
14, 3.629686, , , 7.735163
15, 3.679304, , , 7.735163
16, 3.723845, , , 7.735163
