# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., 0., 1., 13.01324
2, 1.768916, 0., , 13.01324
3, 2.378551, 0., , 13.01324
4, 2.873752, 0., , 13.01324
5, 3.283976, 0., , 13.01324
6, 3.629367, 0., , 13.01324
7, 3.924169, 0., , 13.01324
8, 4.178739, 0., , 13.01324
9, 4.400786, 0., , 13.01324
10, 4.596168, 0., , 13.01324
11, 4.769417, 0., , 13.01324
12, 4.924091, 0., , 13.01324
13, 5.063027, , , 13.01324
14, 5.188509, , , 13.01324
15, 5.302402, , , 13.01324
16, 5.406241, , , 13.01324
