# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., 2.244, 1., 15.877764
2, 1.806574, 1.253, 1.79090183559, 15.877764
3, 2.470893, 0.888, 2.52702702703, 15.877764
4, 3.027542, 0.678, 3.30973451327, 15.877764
5, 3.500734, 0.598, 3.7525083612, 15.877764
6, 3.90793, 0.524, 4.28244274809, 15.877764
7, 4.262035, 0.492, 4.56097560976, 15.877764
8, 4.572798, 0.427, 5.25526932084, 15.877764
9, 4.847718, 0.435, 5.15862068966, 15.877764
10, 5.092656, 0.395, 5.68101265823, 15.877764
11, 5.312265, 0.402, 5.58208955224, 15.877764
12, 5.51028, 0.374, 6., 15.877764
13, 5.689737, , , 15.877764
14, 5.853128, , , 15.877764
15, 6.002517, , , 15.877764
16, 6.139632, , , 15.877764
